epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
77,8430.61,0.9805,0.60221,0.00949,0.90466,0.87892,0.93428,0.72862,0.80026,0.64237,0.01377,0.000288321,0.000288321,0.000288321
78,8539.7,0.9471,0.61188,0.00826,0.91061,0.86795,0.93841,0.73536,0.77445,0.71865,0.01418,0.00026739,0.00026739,0.00026739
79,8649.73,0.96894,0.62377,0.00859,0.92077,0.87892,0.94718,0.74741,0.79728,0.71602,0.01562,0.000247192,0.000247192,0.000247192
80,8775.7,0.92811,0.57254,0.00945,0.91611,0.88341,0.94917,0.74786,0.80946,0.67918,0.01582,0.000227747,0.000227747,0.000227747
81,8901.73,0.90107,0.57278,0.00863,0.92746,0.85995,0.94333,0.74301,0.795,0.61774,0.01509,0.000209073,0.000209073,0.000209073
82,9011.97,0.88038,0.56532,0.00805,0.91092,0.87124,0.94136,0.74063,0.79899,0.62708,0.01517,0.00019119,0.00019119,0.00019119
83,9120.63,0.8412,0.5152,0.0089,0.8897,0.86812,0.93627,0.73058,0.77716,0.60857,0.01397,0.000174115,0.000174115,0.000174115
84,9230.45,0.88371,0.59561,0.00898,0.88576,0.86926,0.93018,0.73322,0.79347,0.67939,0.01528,0.000157865,0.000157865,0.000157865
85,9340.3,0.89335,0.56437,0.00869,0.91334,0.85074,0.93456,0.73203,0.79813,0.64151,0.01543,0.000142456,0.000142456,0.000142456
86,9450.13,0.91647,0.58157,0.00909,0.90539,0.8797,0.9407,0.73708,0.82228,0.65227,0.01666,0.000127904,0.000127904,0.000127904
87,9561.21,0.91483,0.5965,0.0095,0.91616,0.86323,0.93937,0.73675,0.79559,0.64757,0.01551,0.000114221,0.000114221,0.000114221
88,9671.23,0.92231,0.57161,0.00943,0.89592,0.86323,0.93767,0.73454,0.82485,0.81664,0.01678,0.000101423,0.000101423,0.000101423
89,9782.26,0.88359,0.58491,0.00817,0.89249,0.88117,0.94052,0.73943,0.82612,0.71386,0.01615,8.95213e-05,8.95213e-05,8.95213e-05
90,9893.55,0.91093,0.59755,0.00839,0.90169,0.86373,0.93264,0.7325,0.84666,0.68583,0.01747,7.8528e-05,7.8528e-05,7.8528e-05
91,10015,0.61539,0.35282,0.00901,0.89178,0.8869,0.94393,0.73506,0.76776,0.60733,0.01387,6.8454e-05,6.8454e-05,6.8454e-05
92,10131,0.62297,0.38184,0.00944,0.89204,0.87076,0.94082,0.73051,0.79421,0.58763,0.0143,5.93093e-05,5.93093e-05,5.93093e-05
93,10242.4,0.60208,0.36116,0.00804,0.91318,0.86996,0.94101,0.73479,0.79632,0.56787,0.01443,5.11027e-05,5.11027e-05,5.11027e-05
94,10354.9,0.63666,0.36333,0.00944,0.87479,0.88341,0.93631,0.73042,0.82901,0.60243,0.01645,4.38424e-05,4.38424e-05,4.38424e-05
95,10469.5,0.62807,0.35052,0.00949,0.87396,0.88789,0.93677,0.73491,0.81265,0.58534,0.01571,3.75356e-05,3.75356e-05,3.75356e-05
96,10582,0.60975,0.33725,0.00868,0.90384,0.86405,0.93936,0.73779,0.79485,0.55899,0.01494,3.21885e-05,3.21885e-05,3.21885e-05
97,10692.3,0.61796,0.37733,0.00861,0.88532,0.8828,0.93813,0.73369,0.77549,0.56882,0.01343,2.78064e-05,2.78064e-05,2.78064e-05
98,10811.7,0.61475,0.37262,0.00952,0.8751,0.89547,0.93597,0.73378,0.7891,0.55188,0.01453,2.43937e-05,2.43937e-05,2.43937e-05
99,10938.5,0.61502,0.31959,0.00911,0.88315,0.8812,0.93474,0.73226,0.79491,0.55295,0.01482,2.19535e-05,2.19535e-05,2.19535e-05
100,11063.7,0.60358,0.33024,0.00874,0.86887,0.89238,0.93309,0.72854,0.79578,0.58304,0.01492,2.04885e-05,2.04885e-05,2.04885e-05
